Stock Ticker,Mean Squared Error
AAPL,6.686896436331863
ADBE,115.18725681464464
ADI,9.825771106506346
ADP,10.924329180141603
ALGN,138.33453959812192
AMD,10.46712155285757
AMGN,14.276508681983962
AMZN,9.125115254955327
ANSS,45.957691786522695
ASML,219.11183194199288
AVGO,201.5657143601602
BIIB,67.83004531623504
BKNG,2574.3280299092285
CDNS,12.307801750149217
CDW,8.985980707537006
CHKP,3.7585501460146693
CHTR,103.02022536776691
CMCSA,0.5922481112271356
COST,51.35409943136992
CPRT,0.3177424402753608
CSCO,0.6551633789120844
CSX,0.24744477861219047
CTAS,43.3038353545618
CTSH,1.6831119591061774
DOCU,5.74669142053105
DXCM,8.388588425484272
EXC,0.36727874163298985
FAST,0.6835091237812617
FISV,2.586893243426698
FOX,0.20994077196564453
FOXA,0.2602344457497033
GILD,1.5099503947990058
GOOGL,4.603105046509014
IDXX,92.32991027988838
ILMN,62.24630427557118
INCY,2.4379795791177608
INTC,1.478753633665316
INTU,96.26385184296987
ISRG,31.772938740876757
JD,3.9955442936470154
KHC,0.2571481291002794
KLAC,84.67828354174787
LRCX,208.27214860079494
LULU,69.18889523251377
MCHP,3.095881942721888
MELI,1468.049512660783
MRVL,2.9821310374378713
MSFT,22.66627004114708
MU,3.7598843588025446
NFLX,139.1419011447709
NTAP,2.2171270799637908
NTES,6.897893128460002
NVDA,92.16478645093868
NXPI,19.694492352752462
PEP,4.117125736944895
PTON,0.20105808353309676
PYPL,11.685088508712994
QCOM,10.385235804247651
REGN,142.3306613980972
SBUX,2.8892804270919954
SIRI,0.021307805885167733
SNPS,47.92464524915968
SPLK,15.432144896136869
SWKS,9.993052030059332
TCOM,0.8536482730881391
TMUS,4.051021228726072
TSLA,72.36351233835566
TXN,8.821777549566733
ULTA,69.31729322087517
VRSK,9.24508152789773
VRSN,12.327992603100403
VRTX,29.86186279783317
WBA,0.8315325164044413
WDC,2.3441701892934885
