Stock Ticker,Mean Squared Error
AAPL,4.204097255943988
ADBE,75.2876513683009
ADI,7.081829219737432
ADP,7.626064634255854
ALGN,108.65387136254888
AMD,6.53710575835278
AMGN,10.979585676438994
AMZN,6.175138621060245
ANSS,29.884810077554896
ASML,135.84153284873682
AVGO,201.5657143601602
BIIB,58.74492640655592
BKNG,1857.5289894355544
CDNS,7.783698719873542
CDW,8.985980707537006
CHKP,3.0994430098960133
CHTR,103.02022536776691
CMCSA,0.4683775897384804
COST,33.490990808250764
CPRT,0.20633472042145032
CSCO,0.5570902640575778
CSX,0.1931083451806165
CTAS,28.430314117392363
CTSH,1.3640115536455817
DOCU,5.74669142053105
DXCM,6.747577502308897
EXC,0.25736323744213135
FAST,0.5004278099539458
FISV,2.586893243426698
FOX,0.20994077196564453
FOXA,0.2602344457497033
GILD,1.3422290784228859
GOOGL,3.697159302589653
IDXX,59.85985693331993
ILMN,52.581971478849724
INCY,3.6892849415661115
INTC,1.1455258470526317
INTU,61.311676856302476
ISRG,22.845156770321466
JD,3.9955442936470154
KHC,0.2571481291002794
KLAC,55.66051941328906
LRCX,131.58165749104964
LULU,62.74051422589708
MCHP,2.1311463355806906
MELI,1342.8023358908326
MRVL,1.9415241767201235
MSFT,14.592389338258078
MU,2.7895347454103887
NFLX,114.77019659054713
NTAP,1.9758337391542216
NTES,4.957584225883775
NVDA,55.433228701425826
NXPI,19.694492352752462
PEP,2.93186135713497
PTON,0.20105808353309676
PYPL,11.685088508712994
QCOM,6.887116813792365
REGN,107.62636428112441
SBUX,2.0169723325613274
SIRI,0.015748849215368572
SNPS,29.606466928901305
SPLK,15.432144896136869
SWKS,7.269800487423684
TCOM,0.8827601857072817
TMUS,3.698536201824824
TSLA,72.36351233835566
TXN,6.449446261406036
ULTA,73.77511897020275
VRSK,9.24508152789773
VRSN,9.374377074824059
VRTX,21.87513856204979
WBA,0.9252266259332818
WDC,2.467858305238121
